learning_rate,epochs,reg_l1,reg_l2,threshold,acc,prec,rec,f1,log_loss,overall
0.01,100,0.0,0.0,0.3,0.724907768762909,0.24823639093161454,0.9627358956624839,0.39468381864321345,0.3291629157526406,0.0
0.01,100,0.0,0.0,0.4,0.78884642486278,0.2983164551410346,0.9363633369561638,0.45245428186025477,0.3307188524385225,0.5499999999901984
0.01,100,0.0,0.0,0.5,0.8434378316387662,0.3618005073292615,0.8910713697592465,0.5146310802371105,0.32967224097289793,0.7517970540364939
0.01,100,0.0,0.0,0.7,0.9253243641094109,0.5769250913936427,0.7494219938741231,0.6517146386234456,0.32945223733771745,0.7942159333614585
0.01,100,0.0,0.01,0.7,0.9260722416213071,0.5803729363215041,0.7505697724203799,0.6543358548017665,0.3286905315398672,0.8508071051557924
0.01,200,0.0,0.0,0.7,0.9237218855910445,0.5669311300065492,0.7746550077396831,0.6544866272948375,0.31246097298563863,0.8573084513663006
0.1,200,0.001,0.01,0.7,0.9247902188673217,0.5707989494370045,0.7769620920198926,0.6579290154485345,0.29549409851741826,0.8603486421471647
0.1,500,0.0,0.001,0.7,0.9246833527324181,0.5700955924923737,0.7792527088891085,0.6583822282618728,0.29540808130576895,0.8617924994592052
1,200,0.0,0.01,0.7,0.934939249483642,0.6475576945782505,0.7012284688601259,0.6684151265951735,0.25660038448607014,0.8714808777399466
